,Cell,Timepoint,Drug,Conc,Rep,Count,Method,measured_by,Treatment_id,Condition
0,786-0,72h,5-AZACITIDINE,0.0,1,99.52403617325086,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
1,786-0,72h,5-AZACITIDINE,0.25,1,119.2289386006664,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
2,786-0,72h,5-AZACITIDINE,0.5,1,136.8396001903856,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
3,786-0,72h,5-AZACITIDINE,1.0,1,105.6163731556402,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
4,786-0,72h,5-AZACITIDINE,2.5,1,89.62398857686817,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
5,786-0,72h,5-AZACITIDINE,5.0,1,84.38838648262733,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
6,786-0,72h,5-AZACITIDINE,10.0,1,59.8286530223703,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
7,786-0,72h,5-AZACITIDINE,20.0,1,53.11756306520707,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
8,786-0,72h,FLUOROURACIL,0.0,1,105.3804649286471,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
9,786-0,72h,FLUOROURACIL,1.0,1,93.03615551409408,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
10,786-0,72h,FLUOROURACIL,2.5,1,93.0058998537643,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
11,786-0,72h,FLUOROURACIL,5.0,1,78.163985678987,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
12,786-0,72h,FLUOROURACIL,10.0,1,67.53063385608391,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
13,786-0,72h,FLUOROURACIL,15.0,1,49.55877162019061,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
14,786-0,72h,FLUOROURACIL,20.0,1,30.33129948061116,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
15,786-0,72h,FLUOROURACIL,25.0,1,24.06837779234532,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
16,786-0,72h,ADAVOSERTIB,0.0,1,93.20123613888384,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
17,786-0,72h,ADAVOSERTIB,0.05,1,104.7082348663879,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
18,786-0,72h,ADAVOSERTIB,0.1,1,82.67587711325213,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
19,786-0,72h,ADAVOSERTIB,0.25,1,82.94855480821668,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
20,786-0,72h,ADAVOSERTIB,0.5,1,69.80548991092527,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
21,786-0,72h,ADAVOSERTIB,1.0,1,39.16742410470823,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
22,786-0,72h,ADAVOSERTIB,2.5,1,38.60570805308126,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
23,786-0,72h,ADAVOSERTIB,5.0,1,30.56716960552627,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
24,786-0,72h,ALISERTIB,0.0,1,102.4284943335132,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
25,786-0,72h,ALISERTIB,10.0,1,97.67943874797623,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
26,786-0,72h,ALISERTIB,25.0,1,92.33675121424716,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
27,786-0,72h,ALISERTIB,50.0,1,79.92444684295738,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
28,786-0,72h,ALISERTIB,100.0,1,74.41985968699406,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
29,786-0,72h,ALISERTIB,250.0,1,73.77226119805721,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
30,786-0,72h,ALISERTIB,500.0,1,76.36265515380465,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
31,786-0,72h,ALISERTIB,1000.0,1,73.61036157582299,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
32,786-0,72h,AXITINIB,0.0,1,102.6154474867184,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
33,786-0,72h,AXITINIB,0.25,1,130.2002451982019,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
34,786-0,72h,AXITINIB,0.5,1,133.9599509603596,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
35,786-0,72h,AXITINIB,1.0,1,129.5055169595423,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
36,786-0,72h,AXITINIB,2.5,1,114.1806293420515,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
37,786-0,72h,AXITINIB,5.0,1,127.1761340416837,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
38,786-0,72h,AXITINIB,10.0,1,112.6685737637924,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
39,786-0,72h,AXITINIB,20.0,1,101.8798528810788,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
40,786-0,72h,BOSUTINIB,0.0,1,102.6154474867184,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
41,786-0,72h,BOSUTINIB,0.25,1,141.3567633837351,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
42,786-0,72h,BOSUTINIB,0.5,1,143.359215365754,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
43,786-0,72h,BOSUTINIB,1.0,1,101.385369840621,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
44,786-0,72h,BOSUTINIB,2.5,1,86.8001634654679,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
45,786-0,72h,BOSUTINIB,5.0,1,89.94687372292601,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
46,786-0,72h,BOSUTINIB,10.0,1,81.77360032693092,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
47,786-0,72h,BOSUTINIB,20.0,1,35.8193706579485,XTT,LT,786-0_BOSUTINIB_72h_XTT_LT,786-0_72h_XTT_LT
48,786-0,72h,CABOZANTINIB,0.0,1,106.9582955575703,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
49,786-0,72h,CABOZANTINIB,0.1,1,108.216228467815,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
50,786-0,72h,CABOZANTINIB,0.25,1,106.1763372620127,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
51,786-0,72h,CABOZANTINIB,0.5,1,101.3485947416138,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
52,786-0,72h,CABOZANTINIB,1.0,1,87.61332728921126,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
53,786-0,72h,CABOZANTINIB,2.5,1,29.95240253853128,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
54,786-0,72h,CABOZANTINIB,5.0,1,31.17633726201269,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
55,786-0,72h,CABOZANTINIB,10.0,1,18.49501359927471,XTT,LT,786-0_CABOZANTINIB_72h_XTT_LT,786-0_72h_XTT_LT
56,786-0,72h,CRIZOTINIB,0.0,1,106.9582955575703,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
57,786-0,72h,CRIZOTINIB,0.25,1,107.1962828649139,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
58,786-0,72h,CRIZOTINIB,0.5,1,106.4483227561197,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
59,786-0,72h,CRIZOTINIB,1.0,1,109.3721668177697,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
60,786-0,72h,CRIZOTINIB,2.5,1,105.2583862194016,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
61,786-0,72h,CRIZOTINIB,5.0,1,103.1844968268359,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
62,786-0,72h,CRIZOTINIB,7.5,1,98.15276518585677,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
63,786-0,72h,CRIZOTINIB,10.0,1,39.36990027198549,XTT,LT,786-0_CRIZOTINIB_72h_XTT_LT,786-0_72h_XTT_LT
64,786-0,72h,CURCUMIN,0.0,1,105.3804649286471,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
65,786-0,72h,CURCUMIN,1.0,1,85.75966920478038,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
66,786-0,72h,CURCUMIN,2.5,1,137.7086379910241,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
67,786-0,72h,CURCUMIN,5.0,1,133.0341384700721,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
68,786-0,72h,CURCUMIN,10.0,1,64.3537895214563,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
69,786-0,72h,CURCUMIN,15.0,1,12.65745549896626,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
70,786-0,72h,CURCUMIN,20.0,1,8.43679088296102,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
71,786-0,72h,CURCUMIN,25.0,1,9.374716353184407,XTT,LT,786-0_CURCUMIN_72h_XTT_LT,786-0_72h_XTT_LT
72,786-0,72h,DACTOLISIB,0.0,1,93.20123613888384,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
73,786-0,72h,DACTOLISIB,5.0,1,111.4706417015088,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
74,786-0,72h,DACTOLISIB,10.0,1,105.3081257953099,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
75,786-0,72h,DACTOLISIB,25.0,1,83.9138338483912,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
76,786-0,72h,DACTOLISIB,50.0,1,80.930739865479,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
77,786-0,72h,DACTOLISIB,100.0,1,52.41410652608616,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
78,786-0,72h,DACTOLISIB,250.0,1,27.78585711688784,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
79,786-0,72h,DACTOLISIB,500.0,1,16.39338302126886,XTT,LT,786-0_DACTOLISIB_72h_XTT_LT,786-0_72h_XTT_LT
80,786-0,72h,DASATINIB,0.0,1,105.3804649286471,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
81,786-0,72h,DASATINIB,50.0,1,69.2254550955575,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
82,786-0,72h,DASATINIB,100.0,1,74.6260904644244,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
83,786-0,72h,DASATINIB,250.0,1,58.62034188896173,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
84,786-0,72h,DASATINIB,500.0,1,55.24683576219051,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
85,786-0,72h,DASATINIB,1000.0,1,45.97347587111089,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
86,786-0,72h,DASATINIB,2500.0,1,38.01623720437698,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
87,786-0,72h,DASATINIB,5000.0,1,35.79244617013767,XTT,LT,786-0_DASATINIB_72h_XTT_LT,786-0_72h_XTT_LT
88,786-0,72h,DIGOXIN,0.0,1,101.2264295569523,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
89,786-0,72h,DIGOXIN,5.0,1,104.2158516020236,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
90,786-0,72h,DIGOXIN,10.0,1,104.5837804691093,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
91,786-0,72h,DIGOXIN,25.0,1,100.7205273647095,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
92,786-0,72h,DIGOXIN,50.0,1,59.3745209259543,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
93,786-0,72h,DIGOXIN,100.0,1,32.43292963360417,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
94,786-0,72h,DIGOXIN,250.0,1,13.56737697378506,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
95,786-0,72h,DIGOXIN,500.0,1,9.446573662425264,XTT,LT,786-0_DIGOXIN_72h_XTT_LT,786-0_72h_XTT_LT
96,786-0,72h,17-DMAG,0.0,1,93.46476249611922,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
97,786-0,72h,17-DMAG,5.0,1,115.5386525923626,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
98,786-0,72h,17-DMAG,10.0,1,132.188761254269,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
99,786-0,72h,17-DMAG,25.0,1,136.972989754735,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
100,786-0,72h,17-DMAG,50.0,1,122.909034461347,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
101,786-0,72h,17-DMAG,100.0,1,88.180689226948,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
102,786-0,72h,17-DMAG,250.0,1,66.7339335610059,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
103,786-0,72h,17-DMAG,500.0,1,63.98633964607264,XTT,LT,786-0_17-DMAG_72h_XTT_LT,786-0_72h_XTT_LT
104,786-0,72h,DOXORUBICIN HCL,0.0,1,101.2264295569523,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
105,786-0,72h,DOXORUBICIN HCL,25.0,1,104.2158516020236,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
106,786-0,72h,DOXORUBICIN HCL,50.0,1,104.5837804691093,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
107,786-0,72h,DOXORUBICIN HCL,100.0,1,100.7205273647095,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
108,786-0,72h,DOXORUBICIN HCL,250.0,1,59.3745209259543,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
109,786-0,72h,DOXORUBICIN HCL,500.0,1,32.43292963360417,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
110,786-0,72h,DOXORUBICIN HCL,1000.0,1,13.56737697378506,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
111,786-0,72h,DOXORUBICIN HCL,2500.0,1,9.446573662425264,XTT,LT,786-0_DOXORUBICIN HCL_72h_XTT_LT,786-0_72h_XTT_LT
112,786-0,72h,DIGITOXIGENIN,0.0,1,101.2264295569523,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
113,786-0,72h,DIGITOXIGENIN,5.0,1,108.1710869231948,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
114,786-0,72h,DIGITOXIGENIN,10.0,1,142.0205426950789,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
115,786-0,72h,DIGITOXIGENIN,25.0,1,133.2822321017937,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
116,786-0,72h,DIGITOXIGENIN,50.0,1,142.2045071286218,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
117,786-0,72h,DIGITOXIGENIN,100.0,1,109.7807757166948,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
118,786-0,72h,DIGITOXIGENIN,250.0,1,25.93898512954161,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
119,786-0,72h,DIGITOXIGENIN,500.0,1,11.85650774183657,XTT,LT,786-0_DIGITOXIGENIN_72h_XTT_LT,786-0_72h_XTT_LT
120,786-0,72h,ETOMOXIR,0.0,1,107.4985689753864,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
121,786-0,72h,ETOMOXIR,0.5,1,96.89467658843732,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
122,786-0,72h,ETOMOXIR,1.0,1,121.8803663423011,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
123,786-0,72h,ETOMOXIR,2.5,1,15.36061820263309,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
124,786-0,72h,ETOMOXIR,5.0,1,1.021751574127075,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
125,786-0,72h,ETOMOXIR,10.0,1,0.0,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
126,786-0,72h,ETOMOXIR,25.0,1,0.0,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
127,786-0,72h,ETOMOXIR,50.0,1,0.0,XTT,LT,786-0_ETOMOXIR_72h_XTT_LT,786-0_72h_XTT_LT
128,786-0,72h,ETOPOSIDE,0.0,1,101.2264295569523,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
129,786-0,72h,ETOPOSIDE,0.25,1,108.1710869231948,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
130,786-0,72h,ETOPOSIDE,0.5,1,142.0205426950789,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
131,786-0,72h,ETOPOSIDE,1.0,1,133.2822321017937,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
132,786-0,72h,ETOPOSIDE,2.5,1,142.2045071286218,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
133,786-0,72h,ETOPOSIDE,5.0,1,109.7807757166948,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
134,786-0,72h,ETOPOSIDE,10.0,1,25.93898512954161,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
135,786-0,72h,ETOPOSIDE,20.0,1,11.85650774183657,XTT,LT,786-0_ETOPOSIDE_72h_XTT_LT,786-0_72h_XTT_LT
136,786-0,72h,GEFITINIB,0.0,1,102.6154474867184,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
137,786-0,72h,GEFITINIB,1.0,1,97.42541888026152,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
138,786-0,72h,GEFITINIB,2.5,1,95.09603596240292,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
139,786-0,72h,GEFITINIB,5.0,1,86.51409889660808,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
140,786-0,72h,GEFITINIB,10.0,1,80.09807928075192,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
141,786-0,72h,GEFITINIB,15.0,1,74.37678790355537,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
142,786-0,72h,GEFITINIB,20.0,1,80.38414384961176,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
143,786-0,72h,GEFITINIB,25.0,1,81.9779321618308,XTT,LT,786-0_GEFITINIB_72h_XTT_LT,786-0_72h_XTT_LT
144,786-0,72h,GELDANAMYCIN,0.0,1,99.52403617325086,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
145,786-0,72h,GELDANAMYCIN,5.0,1,119.2289386006664,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
146,786-0,72h,GELDANAMYCIN,10.0,1,136.8396001903856,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
147,786-0,72h,GELDANAMYCIN,25.0,1,105.6163731556402,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
148,786-0,72h,GELDANAMYCIN,50.0,1,89.62398857686817,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
149,786-0,72h,GELDANAMYCIN,100.0,1,84.38838648262733,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
150,786-0,72h,GELDANAMYCIN,250.0,1,59.8286530223703,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
151,786-0,72h,GELDANAMYCIN,500.0,1,53.11756306520707,XTT,LT,786-0_GELDANAMYCIN_72h_XTT_LT,786-0_72h_XTT_LT
152,786-0,72h,JQ1,0.0,1,95.81857804412968,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
153,786-0,72h,JQ1,0.1,1,103.0918005992917,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
154,786-0,72h,JQ1,0.25,1,101.5390901661672,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
155,786-0,72h,JQ1,0.5,1,104.0724598202125,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
156,786-0,72h,JQ1,1.0,1,100.5175701443748,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
157,786-0,72h,JQ1,2.5,1,72.93652955597929,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
158,786-0,72h,JQ1,5.0,1,101.2122037591937,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
159,786-0,72h,JQ1,10.0,1,97.57559248161265,XTT,LT,786-0_JQ1_72h_XTT_LT,786-0_72h_XTT_LT
160,786-0,72h,LONAFARNIB,0.0,1,99.19770773638967,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
161,786-0,72h,LONAFARNIB,1.0,1,77.07736389684813,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
162,786-0,72h,LONAFARNIB,2.5,1,87.3352435530086,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
163,786-0,72h,LONAFARNIB,5.0,1,84.756446991404,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
164,786-0,72h,LONAFARNIB,10.0,1,59.48424068767908,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
165,786-0,72h,LONAFARNIB,15.0,1,36.19484240687679,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
166,786-0,72h,LONAFARNIB,20.0,1,36.12034383954154,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
167,786-0,72h,LONAFARNIB,25.0,1,24.63610315186246,XTT,LT,786-0_LONAFARNIB_72h_XTT_LT,786-0_72h_XTT_LT
168,786-0,72h,OLAPARIB,0.0,1,96.001523229246,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
169,786-0,72h,OLAPARIB,1.0,1,88.61386138613861,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
170,786-0,72h,OLAPARIB,2.5,1,90.5940594059406,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
171,786-0,72h,OLAPARIB,5.0,1,102.3990860624524,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
172,786-0,72h,OLAPARIB,10.0,1,99.8095963442498,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
173,786-0,72h,OLAPARIB,15.0,1,93.98324447829398,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
174,786-0,72h,OLAPARIB,20.0,1,67.7075399847677,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
175,786-0,72h,OLAPARIB,25.0,1,46.99162223914699,XTT,LT,786-0_OLAPARIB_72h_XTT_LT,786-0_72h_XTT_LT
176,786-0,72h,PACLITAXEL,0.0,1,93.20123613888384,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
177,786-0,72h,PACLITAXEL,10.0,1,88.72932194146517,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
178,786-0,72h,PACLITAXEL,25.0,1,79.24013815669878,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
179,786-0,72h,PACLITAXEL,50.0,1,63.86111616069805,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
180,786-0,72h,PACLITAXEL,100.0,1,49.61643337574986,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
181,786-0,72h,PACLITAXEL,250.0,1,34.37375022723141,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
182,786-0,72h,PACLITAXEL,500.0,1,29.43283039447373,XTT,LT,786-0_PACLITAXEL_72h_XTT_LT,786-0_72h_XTT_LT
